qc_id,fid,id monumento,x,y,tipo,km autopista,km tren,clase de monumento,monumentos superiores,ubicación de intervención,intervención en ceros,intervención en ddv,fecha inicio intervención,fecha fin intervención,id arqueólogo(s),área de monumento (m2),cuadros intervenidos,área intervenida (m2),total bolsas de material,estatus de intervención,tipo de intervención,id enlace,tipo de dictaminación,supervisión de maquinaria,tramo,minuta,entrega,icon_url
"25","26",T4_09141,3849971.682,1037437.966,Cimiento con núcleo,N/A,7020+858,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/05/05,,"407",16,1,2,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"26","27",T4_09142,3849950.542,1037413.707,Afloramiento acondicionado,N/A,7020+850,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/05/09,,"407",0,0,0,"0",Intervenido,Registro sin excavar,"21023","2",Pendiente,T4,,,./0.png
"27","28",T3_13442,3845785.154,1045198.258,Basamento,N/A,7011+906,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/05/05,2022/05/05,"405",112,2,8,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"28","29",T3_13439,3845798.109,1045220.72,Cimiento con núcleo,N/A,7011+891,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/25,2022/04/25,"404",14,1,4,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"29","30",T3_12563,3845815.98,1045214.197,Basamento,N/A,7011+905,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/04/04,2022/04/05,"404",68,6,24,"2",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"30","31",T3_13555,3846429.943,1043837.864,Basamento,N/A,7013+419,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,2022/05/04,2022/05/10,"401",244.792,7,24,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"31","32",T3_12561,3845792.93,1045261.688,Histórico,N/A,7011+853,Monumento principal,Sin monuemnto superior,Ceros tren,Si,No Aplica,2022/05/05,2022/05/09,"405",201,2,8,"0",Intervenido,Excavado,"21023","2",Pendiente,T4,EXC-T4-0005,,./0.png
"32","33",T4_10461,3851951.528,1036897.993,Terraza,N/A,7022+919,Monumento principal,Sin monumento superior,Derecho de vía tren,No aplica,Si,2022/04/29,2022/05/03,"413",25,2,8,"1",Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"33","34",T4_10465,3846060.235,1044606.89,Terraza,N/A,7012+562,Monumento principal,"T4_10463,T4_10454",Ceros tren,Si,No Aplica,2022/05/06,2022/05/06,"408",168,3,6,"3",Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"34","35",T4_10473,3850015.576,1037387.777,Cimiento,N/A,7020+920,Monumento principal,Sin monumento superior,Ceros tren,Si,No Aplica,,,"406",,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"35","36",T4_10470,3850036.951,1037403.322,Cimiento con núcleo,N/A,N/A,Monumento superior,Asociado al monumento principal T4_17044,Ceros tren,Si,No Aplica,,,,,,,,En proceso,En proceso,"21023","2",Pendiente,T4,,,./1.png
"36","37",T4_17045,3850035.831,1037392.427,Cimiento compuesto,N/A,N/A,Monumento superior,Asociado al monumento principal T4_17044,Ceros tren,Si,No Aplica,,,,,,,,Intervenido,Excavado,"21023","2",Pendiente,T4,,,./0.png
"37","38",T4_17044,3850028.466,1037391.386,Nivelación,N/A,N/A,Monumento principal,"T4_10470, T4_10471,T4_10472,T4_17045",Ceros tren,Si,No Aplica,2022/05/06,,"406",1224,2,8,"3",En proceso,En proceso,"21023","2",Pendiente,T4,,,./1.png
"38","39",T4_11345,4029044.292,1075231.02,Nivelación,263+658,N/A,Monumento principal,T4_10239,Derecho de vía Autopista,No aplica,SI,2022/05/02,,"416,418,420",390,13,52,"21",En proceso,En proceso,"21023","2",Pendiente,T4,,,./1.png
