X,Y,fid,Text,Cad_autopista,layer,path,icon_url,auxiliary_storage_labeling_positionx,auxiliary_storage_labeling_positiony,auxiliary_storage_callouts_originx,auxiliary_storage_callouts_originy,auxiliary_storage_callouts_destinationx,auxiliary_storage_callouts_destinationy
-87.0631337270233,21.0092764705862,"98",7224+700,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0621714744442,21.0092788961413,"99",7224+800,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0612092218187,21.0092813162561,"100",7224+900,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.060246969147,21.0092837309305,"101",7225+000,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0592847164295,21.0092861401645,"102",7225+100,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0583224636664,21.0092885439581,"103",7225+200,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0573602108582,21.0092909423113,"104",7225+300,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.056397958005,21.0092933352241,"105",7225+400,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0554357051073,21.0092957226964,"106",7225+500,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
-87.0544734521653,21.0092981047284,"107",7225+600,,pk_ramal_cancun,C:/TREN MAYA/T4/02_PROCESO DE TRABAJO/02_Kilometrajes/pk_ramal_cancun.gpkg|layername=pk_ramal_cancun,./0.png,,,,,,
