X,Y,fid,id,m_from,m_to,distance,angle,route,measure,km,icon_url
-87.0464940996553,21.008592211864,"114","1",0,28268.1722412109,11300,89.9998680010068,"1",7226400,7226+400,./0.png
-87.0455318478118,21.0085924740906,"115","1",0,28268.1722412109,11400,89.9998680010068,"1",7226500,7226+500,./0.png
-87.0445695959537,21.0085927308768,"116","1",0,28268.1722412109,11500,89.9998680010068,"1",7226600,7226+600,./0.png
-87.0436073440814,21.0085929822227,"117","1",0,28268.1722412109,11600,89.9998680010068,"1",7226700,7226+700,./0.png
-87.0426450921951,21.0085932281283,"118","1",0,28268.1722412109,11700,89.9998680010068,"1",7226800,7226+800,./0.png
-87.0416828402951,21.0085934685937,"119","1",0,28268.1722412109,11800,89.9998680010068,"1",7226900,7226+900,./0.png
-87.0407205883818,21.0085937036187,"120","1",0,28268.1722412109,11900,89.9998680010068,"1",7227000,7227+000,./0.png
-87.0397583364554,21.0085939332034,"121","1",0,28268.1722412109,12000,89.9998680010068,"1",7227100,7227+100,./0.png
-87.0387960845163,21.0085941573477,"122","1",0,28268.1722412109,12100,89.9998680010068,"1",7227200,7227+200,./0.png
-87.0378338325648,21.0085943760518,"123","1",0,28268.1722412109,12200,89.9998680010068,"1",7227300,7227+300,./0.png
-87.0368715806011,21.0085945893156,"124","1",0,28268.1722412109,12300,89.9998680010068,"1",7227400,7227+400,./0.png
-87.0359093286256,21.008594797139,"125","1",0,28268.1722412109,12400,89.9998680010068,"1",7227500,7227+500,./0.png
-87.0349470766386,21.0085949995222,"126","1",0,28268.1722412109,12500,89.9998680010068,"1",7227600,7227+600,./0.png
-87.0339848246404,21.008595196465,"127","1",0,28268.1722412109,12600,89.9998680010068,"1",7227700,7227+700,./0.png
-87.0330225726314,21.0085953879675,"128","1",0,28268.1722412109,12700,89.9998680010068,"1",7227800,7227+800,./0.png
-87.0320603206117,21.0085955740297,"129","1",0,28268.1722412109,12800,89.9998680010068,"1",7227900,7227+900,./0.png
-87.0310993625548,21.0086330229553,"130","1",0,28268.1722412109,12900,86.2877419797333,"1",7228000,7228+000,./0.png
-87.0301391410328,21.0086916976711,"131","1",0,28268.1722412109,13000,86.2877419797333,"1",7228100,7228+100,./0.png
-87.0291807544957,21.0087686249547,"132","1",0,28268.1722412109,13100,82.9463029796094,"1",7228200,7228+200,./0.png
-87.0282258050118,21.008879743188,"133","1",0,28268.1722412109,13200,82.9463029796094,"1",7228300,7228+300,./0.png
-87.0272707067341,21.0089896364115,"134","1",0,28268.1722412109,13300,84.1268281663993,"1",7228400,7228+400,./0.png
-87.0263135193769,21.0090822458571,"135","1",0,28268.1722412109,13400,84.1268281663993,"1",7228500,7228+500,./0.png
-87.0253563308318,21.0091748499197,"136","1",0,28268.1722412109,13500,84.1268281663993,"1",7228600,7228+600,./0.png
-87.0243959645846,21.0092264194341,"137","1",0,28268.1722412109,13600,87.5746452711735,"1",7228700,7228+700,./0.png
-87.0234345764056,21.0092647913463,"138","1",0,28268.1722412109,13700,87.5746452711735,"1",7228800,7228+800,./0.png
-87.0224730023861,21.0092983920084,"139","1",0,28268.1722412109,13800,88.258675627234,"1",7228900,7228+900,./0.png
-87.0215111940763,21.0093259730353,"140","1",0,28268.1722412109,13900,88.258675627234,"1",7229000,7229+000,./0.png
-87.0205493854076,21.0093535486269,"141","1",0,28268.1722412109,14000,88.258675627234,"1",7229100,7229+100,./0.png
-87.0195875763804,21.0093811187832,"142","1",0,28268.1722412109,14100,88.258675627234,"1",7229200,7229+200,./0.png
-87.018625766995,21.0094086835042,"143","1",0,28268.1722412109,14200,88.258675627234,"1",7229300,7229+300,./0.png
-87.0176639572517,21.00943624279,"144","1",0,28268.1722412109,14300,88.258675627234,"1",7229400,7229+400,./0.png
-87.0167021471508,21.0094637966404,"145","1",0,28268.1722412109,14400,88.258675627234,"1",7229500,7229+500,./0.png
-87.0157403366926,21.0094913450554,"146","1",0,28268.1722412109,14500,88.258675627234,"1",7229600,7229+600,./0.png
-87.0147785258774,21.0095188880351,"147","1",0,28268.1722412109,14600,88.258675627234,"1",7229700,7229+700,./0.png
-87.0138167147055,21.0095464255794,"148","1",0,28268.1722412109,14700,88.258675627234,"1",7229800,7229+800,./0.png
-87.0128549031773,21.0095739576882,"149","1",0,28268.1722412109,14800,88.258675627234,"1",7229900,7229+900,./0.png
-87.011893091293,21.0096014843616,"150","1",0,28268.1722412109,14900,88.258675627234,"1",7230000,7230+000,./0.png
-87.0109312790529,21.0096290055996,"151","1",0,28268.1722412109,15000,88.258675627234,"1",7230100,7230+100,./0.png
-87.0099694664574,21.009656521402,"152","1",0,28268.1722412109,15100,88.258675627234,"1",7230200,7230+200,./0.png
-87.0090076535067,21.0096840317689,"153","1",0,28268.1722412109,15200,88.258675627234,"1",7230300,7230+300,./0.png
-87.0080458402012,21.0097115367003,"154","1",0,28268.1722412109,15300,88.258675627234,"1",7230400,7230+400,./0.png
-87.0070840265412,21.0097390361961,"155","1",0,28268.1722412109,15400,88.258675627234,"1",7230500,7230+500,./0.png
-87.0061222125269,21.0097665302563,"156","1",0,28268.1722412109,15500,88.258675627234,"1",7230600,7230+600,./0.png
-87.0051603981587,21.0097940188809,"157","1",0,28268.1722412109,15600,88.258675627234,"1",7230700,7230+700,./0.png
-87.0041985834369,21.0098215020699,"158","1",0,28268.1722412109,15700,88.258675627234,"1",7230800,7230+800,./0.png
-87.0032369999974,21.0098545103414,"159","1",0,28268.1722412109,15800,87.2392685858538,"1",7230900,7230+900,./0.png
-87.002275857225,21.0098980462497,"160","1",0,28268.1722412109,15900,87.2392685858538,"1",7231000,7231+000,./0.png
-87.0013147138944,21.0099415767298,"161","1",0,28268.1722412109,16000,87.2392685858538,"1",7231100,7231+100,./0.png
-87.0003535700059,21.0099851017817,"162","1",0,28268.1722412109,16100,87.2392685858538,"1",7231200,7231+200,./0.png
-86.9993924255598,21.0100286214053,"163","1",0,28268.1722412109,16200,87.2392685858538,"1",7231300,7231+300,./0.png
-86.998431319324,21.0100727565092,"164","1",0,28268.1722412109,16300,86.0489749543253,"1",7231400,7231+400,./0.png
-86.9974713436225,21.0101350038928,"165","1",0,28268.1722412109,16400,86.0489749543253,"1",7231500,7231+500,./0.png
-86.9965134563767,21.010217052849,"166","1",0,28268.1722412109,16500,82.6260409598472,"1",7231600,7231+600,./0.png
-86.9955591667092,21.0103331292209,"167","1",0,28268.1722412109,16600,82.6171436178481,"1",7231700,7231+700,./0.png
-86.9946073786141,21.0104638227036,"168","1",0,28268.1722412109,16700,78.7716199341565,"1",7231800,7231+800,./0.png
-86.9936635258988,21.0106397323089,"169","1",0,28268.1722412109,16800,78.7716199341565,"1",7231900,7231+900,./0.png
-86.992721405283,21.0108227863069,"170","1",0,28268.1722412109,16900,74.9260873137881,"1",7232000,7232+000,./0.png
-86.9917922364703,21.0110577292269,"171","1",0,28268.1722412109,17000,74.9260873137881,"1",7232100,7232+100,./0.png
-86.9908633529289,21.0112935965082,"172","1",0,28268.1722412109,17100,72.602549689351,"1",7232200,7232+200,./0.png
-86.9899526847034,21.0115854690622,"173","1",0,28268.1722412109,17200,71.0806842173455,"1",7232300,7232+300,./0.png
-86.9890423776208,21.0118783810476,"174","1",0,28268.1722412109,17300,71.0806842173455,"1",7232400,7232+400,./0.png
-86.9881521279522,21.0122208659821,"175","1",0,28268.1722412109,17400,67.235097551147,"1",7232500,7232+500,./0.png
-86.9872647837826,21.0125704365313,"176","1",0,28268.1722412109,17500,67.235097551147,"1",7232600,7232+600,./0.png
